epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4316,1.2051,2.26947,1.49957,0.629,0.38421,0.43776,0.2305,1.52015,2.84385,1.87163,0.000658228,0.000658228,0.000658228
2,23.4682,1.37003,1.99091,1.61923,0.15645,0.21579,0.09912,0.04884,2.53466,3.57852,2.53694,0.0012921,0.0012921,0.0012921
3,34.2262,1.45465,1.94656,1.70958,0.22072,0.38421,0.16162,0.07019,1.78793,4.41503,2.27995,0.00189298,0.00189298,0.00189298
4,45.0151,1.47605,1.91229,1.72841,0.30506,0.33158,0.22992,0.07192,2.1982,3.05785,2.6949,0.0018515,0.0018515,0.0018515
5,55.7903,1.4551,1.81544,1.70551,0.47234,0.46316,0.40913,0.19697,1.6722,2.42625,2.10375,0.001802,0.001802,0.001802
6,66.6118,1.40821,1.6421,1.64518,0.64718,0.5503,0.49747,0.2506,1.7025,2.04662,2.0892,0.0017525,0.0017525,0.0017525
7,77.4458,1.40534,1.62508,1.67587,0.56944,0.49474,0.46961,0.23668,1.66109,1.9474,1.99552,0.001703,0.001703,0.001703
8,88.371,1.38579,1.60721,1.62709,0.43042,0.47895,0.36683,0.18408,1.42625,2.18727,1.76496,0.0016535,0.0016535,0.0016535
9,99.2945,1.35563,1.5599,1.61753,0.72712,0.58947,0.66135,0.41787,1.35051,1.52667,1.68711,0.001604,0.001604,0.001604
10,110.057,1.27792,1.43461,1.55249,0.75794,0.59328,0.63262,0.35946,1.50509,1.63701,1.90241,0.0015545,0.0015545,0.0015545
11,120.876,1.31602,1.42653,1.59421,0.6853,0.64211,0.67754,0.40008,1.34666,1.4395,1.69842,0.001505,0.001505,0.001505
12,131.727,1.22556,1.30851,1.50903,0.54302,0.64737,0.57579,0.31514,1.45433,1.71863,1.80591,0.0014555,0.0014555,0.0014555
13,142.571,1.25246,1.32165,1.53296,0.75872,0.68947,0.68115,0.44606,1.33517,1.28623,1.62685,0.001406,0.001406,0.001406
14,153.353,1.27967,1.35866,1.5475,0.7289,0.63684,0.66742,0.43067,1.33862,1.33594,1.71626,0.0013565,0.0013565,0.0013565
15,164.232,1.1833,1.28072,1.47575,0.79657,0.68947,0.76135,0.48755,1.27,1.12354,1.58393,0.001307,0.001307,0.001307
16,175.187,1.16806,1.20501,1.46218,0.78803,0.66316,0.68734,0.4685,1.20219,1.22772,1.53692,0.0012575,0.0012575,0.0012575
17,185.983,1.18514,1.19907,1.47414,0.72544,0.72632,0.72328,0.4593,1.26967,1.25459,1.59559,0.001208,0.001208,0.001208
18,196.927,1.16204,1.1811,1.46045,0.72992,0.72632,0.71409,0.4507,1.25086,1.17572,1.59236,0.0011585,0.0011585,0.0011585
19,207.863,1.18301,1.23077,1.46085,0.8017,0.70219,0.70113,0.45726,1.18267,1.17452,1.5501,0.001109,0.001109,0.001109
20,218.769,1.10206,1.1042,1.43464,0.8419,0.74211,0.76317,0.50454,1.26214,1.09517,1.62173,0.0010595,0.0010595,0.0010595
21,229.622,1.06389,1.20755,1.37418,0.84293,0.70612,0.74131,0.5014,1.19712,1.07962,1.50352,0.00101,0.00101,0.00101
22,240.456,1.09582,1.10559,1.4092,0.85141,0.69365,0.72786,0.51461,1.13878,1.0747,1.44464,0.0009605,0.0009605,0.0009605
23,251.387,1.07709,1.07665,1.40461,0.83376,0.74737,0.76042,0.52276,1.1743,0.98686,1.51082,0.000911,0.000911,0.000911
24,262.23,1.06677,1.06865,1.39455,0.85057,0.71053,0.76249,0.49608,1.18054,1.07549,1.51923,0.0008615,0.0008615,0.0008615
25,273.066,1.05091,1.02183,1.36428,0.84562,0.77841,0.78269,0.54878,1.11226,0.94116,1.43249,0.000812,0.000812,0.000812
26,283.871,1.03007,1.03954,1.35889,0.84981,0.75263,0.79919,0.5377,1.11877,0.95476,1.43197,0.0007625,0.0007625,0.0007625
27,294.708,1.05527,1.04553,1.36955,0.83687,0.78304,0.79114,0.55625,1.08973,0.92142,1.41892,0.000713,0.000713,0.000713
28,305.66,1.01223,0.99796,1.34842,0.86551,0.74737,0.79075,0.56239,1.08237,0.96284,1.40486,0.0006635,0.0006635,0.0006635
29,316.531,0.99821,0.94227,1.3325,0.87368,0.75263,0.79616,0.56653,1.05329,0.911,1.36599,0.000614,0.000614,0.000614
30,327.404,0.98068,0.97051,1.34262,0.82559,0.77235,0.77948,0.55259,1.09326,0.89575,1.41966,0.0005645,0.0005645,0.0005645
31,342.991,0.96094,0.95305,1.33124,0.90306,0.73546,0.82217,0.58564,1.04268,0.83899,1.34535,0.000515,0.000515,0.000515
32,353.893,0.97754,0.94768,1.34987,0.85969,0.78947,0.80502,0.57398,1.04771,0.82407,1.3524,0.0004655,0.0004655,0.0004655
33,364.792,0.91854,0.85846,1.29668,0.8791,0.79474,0.81159,0.57004,1.08792,0.84164,1.39997,0.000416,0.000416,0.000416
34,375.72,0.9299,0.87266,1.31713,0.84857,0.79474,0.80304,0.56236,1.04843,0.84652,1.35019,0.0003665,0.0003665,0.0003665
35,386.657,0.9123,0.8536,1.29344,0.88574,0.77522,0.82397,0.59757,1.03679,0.78652,1.32597,0.000317,0.000317,0.000317
36,397.582,0.8723,0.80245,1.27563,0.90336,0.80526,0.81407,0.58525,1.032,0.78367,1.34214,0.0002675,0.0002675,0.0002675
37,408.523,0.8609,0.77343,1.24723,0.91306,0.78421,0.8176,0.58019,1.02358,0.77589,1.32483,0.000218,0.000218,0.000218
38,419.447,0.87425,0.76791,1.26196,0.90439,0.79654,0.82093,0.58639,1.01622,0.75865,1.31855,0.0001685,0.0001685,0.0001685
39,430.469,0.853,0.76359,1.2483,0.90128,0.77895,0.84091,0.60215,1.02046,0.75177,1.3096,0.000119,0.000119,0.000119
