epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1796,1.19523,2.39862,1.5061,0.38617,0.37368,0.29733,0.14435,1.75597,3.09443,2.21483,0.000659722,0.000659722,0.000659722
2,48.3174,1.46172,2.2133,1.67907,0.39711,0.38947,0.25401,0.10778,2.04531,2.86679,2.83723,0.00129356,0.00129356,0.00129356
3,70.071,1.52714,2.08013,1.74739,0.33545,0.33158,0.22878,0.09032,1.98753,3.62452,2.58012,0.0018944,0.0018944,0.0018944
4,91.7927,1.55018,2.01339,1.77026,0.36131,0.43171,0.33715,0.16632,1.7443,2.3251,2.23949,0.0018515,0.0018515,0.0018515
5,113.388,1.48693,1.82846,1.70136,0.66065,0.47135,0.52508,0.27839,1.65233,1.94305,2.02924,0.001802,0.001802,0.001802
6,135.064,1.46238,1.74578,1.69176,0.38672,0.53158,0.34491,0.16379,1.7444,2.47015,2.10469,0.0017525,0.0017525,0.0017525
7,156.727,1.51147,1.72066,1.7132,0.61975,0.55789,0.53923,0.29848,1.59535,1.71905,1.94794,0.001703,0.001703,0.001703
8,178.297,1.42114,1.63731,1.67589,0.63494,0.59474,0.55283,0.31912,1.51183,1.7167,1.86896,0.0016535,0.0016535,0.0016535
9,200.305,1.38735,1.54184,1.63427,0.73031,0.6,0.61669,0.35804,1.46724,1.64528,1.83045,0.001604,0.001604,0.001604
10,222.53,1.33666,1.48419,1.57113,0.76822,0.68034,0.64114,0.3611,1.43943,1.48207,1.79757,0.0015545,0.0015545,0.0015545
11,246.034,1.31624,1.45617,1.57949,0.68284,0.63684,0.66251,0.40739,1.43965,1.35544,1.8123,0.001505,0.001505,0.001505
12,267.985,1.24255,1.3451,1.50544,0.77316,0.68421,0.68243,0.42714,1.33827,1.35895,1.65203,0.0014555,0.0014555,0.0014555
13,289.301,1.30916,1.39082,1.55667,0.73692,0.62105,0.67035,0.38048,1.46458,1.35935,1.75618,0.001406,0.001406,0.001406
14,310.714,1.24817,1.34231,1.51822,0.78132,0.63939,0.66768,0.39376,1.43961,1.3331,1.73957,0.0013565,0.0013565,0.0013565
15,332.029,1.224,1.29637,1.50139,0.83524,0.66702,0.71157,0.44621,1.37764,1.23211,1.66716,0.001307,0.001307,0.001307
16,353.581,1.2598,1.32431,1.51426,0.74719,0.62632,0.59415,0.37055,1.36232,1.40509,1.7087,0.0012575,0.0012575,0.0012575
17,375.245,1.19491,1.24713,1.47781,0.71245,0.68421,0.68405,0.37985,1.36818,1.27417,1.70607,0.001208,0.001208,0.001208
18,396.877,1.16489,1.22812,1.49114,0.83907,0.7,0.74608,0.48566,1.27251,1.07671,1.59168,0.0011585,0.0011585,0.0011585
19,418.544,1.1536,1.24491,1.44126,0.74371,0.67202,0.65756,0.42139,1.27449,1.25378,1.56561,0.001109,0.001109,0.001109
20,440.029,1.15755,1.15605,1.44328,0.80112,0.74204,0.76922,0.51922,1.21242,1.04084,1.53546,0.0010595,0.0010595,0.0010595
21,461.705,1.15075,1.13858,1.45189,0.76161,0.75666,0.74404,0.50027,1.25074,1.03042,1.54757,0.00101,0.00101,0.00101
22,483.249,1.08823,1.1232,1.39253,0.81062,0.74211,0.75732,0.48976,1.21663,1.09013,1.53598,0.0009605,0.0009605,0.0009605
23,505.06,1.10012,1.10013,1.39897,0.82111,0.75263,0.7865,0.54265,1.1225,0.96455,1.43341,0.000911,0.000911,0.000911
24,526.676,1.07868,1.05541,1.38057,0.77833,0.74737,0.76809,0.5126,1.19581,0.99611,1.50455,0.0008615,0.0008615,0.0008615
25,548.472,1.05213,1.04325,1.38805,0.87155,0.76316,0.79448,0.52124,1.17116,0.93681,1.46003,0.000812,0.000812,0.000812
26,570.043,1.05196,1.05123,1.38,0.83476,0.77105,0.78193,0.54242,1.11133,0.94213,1.43186,0.0007625,0.0007625,0.0007625
27,591.519,1.0735,1.03184,1.3786,0.84499,0.80333,0.80214,0.51547,1.17328,0.95977,1.47053,0.000713,0.000713,0.000713
28,616.351,1.05059,1.01501,1.37357,0.80758,0.80526,0.78847,0.5369,1.12414,0.92372,1.43906,0.0006635,0.0006635,0.0006635
29,637.789,1.01967,1.01719,1.36382,0.81925,0.81108,0.80889,0.5581,1.09541,0.8839,1.41237,0.000614,0.000614,0.000614
30,659.409,0.96798,0.98533,1.33299,0.84152,0.81579,0.80859,0.55828,1.07357,0.87176,1.39283,0.0005645,0.0005645,0.0005645
31,690.405,1.00915,0.98491,1.37595,0.84316,0.79222,0.82249,0.56213,1.04901,0.82397,1.35006,0.000515,0.000515,0.000515
32,712.531,0.98914,0.9182,1.36131,0.79485,0.80526,0.81375,0.55647,1.11352,0.85817,1.40194,0.0004655,0.0004655,0.0004655
33,734.585,0.9391,0.9222,1.34109,0.84484,0.77368,0.80284,0.55166,1.05732,0.92611,1.35773,0.000416,0.000416,0.000416
34,758.013,0.91661,0.88352,1.30834,0.85352,0.79739,0.81599,0.57667,1.04672,0.81379,1.36956,0.0003665,0.0003665,0.0003665
35,780.03,0.90956,0.87252,1.3059,0.84653,0.81286,0.81613,0.57996,1.01945,0.78522,1.3177,0.000317,0.000317,0.000317
36,801.667,0.9021,0.82327,1.2939,0.85887,0.80074,0.81081,0.57791,0.99606,0.78067,1.30734,0.0002675,0.0002675,0.0002675
37,823.173,0.88432,0.81485,1.27456,0.87022,0.77644,0.80789,0.57333,0.99025,0.78789,1.30852,0.000218,0.000218,0.000218
38,844.711,0.87054,0.79572,1.27492,0.84114,0.8,0.80678,0.56912,1.0018,0.7866,1.31314,0.0001685,0.0001685,0.0001685
39,865.995,0.86391,0.77329,1.24225,0.86518,0.77895,0.81937,0.58973,1.00146,0.78511,1.31189,0.000119,0.000119,0.000119
40,887.394,0.86452,0.80674,1.24445,0.89098,0.77427,0.82391,0.59766,0.98694,0.77608,1.30326,6.95e-05,6.95e-05,6.95e-05
