epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92775,1.27213,4.16254,1.68599,0.54336,0.69643,0.60891,0.29743,1.63539,5.74511,2.60595,0.07426,0.00026,0.00026
2,12.577,1.45162,1.95395,1.70938,0.65372,0.76786,0.7887,0.37079,1.89808,6.06161,3.74956,0.0475279,0.000527931,0.000527931
3,18.497,1.40137,1.77277,1.67099,0.69564,0.76786,0.76286,0.38907,1.64347,2.43805,3.0565,0.0207876,0.000787559,0.000787559
4,22.98,1.31022,1.41689,1.59726,0.51832,0.82143,0.77181,0.37359,1.41004,3.60761,2.46588,0.000965239,0.000965239,0.000965239
5,26.1912,1.38819,1.57681,1.69419,0.76549,0.82143,0.8142,0.44433,1.67905,1.5966,3.74345,0.000938772,0.000938772,0.000938772
6,29.3827,1.34926,1.45808,1.70366,0.90624,0.89286,0.9358,0.5676,1.47854,1.97315,2.83489,0.000905463,0.000905463,0.000905463
7,32.6441,1.23149,1.25695,1.56877,0.886,0.875,0.90035,0.52979,1.42147,2.5921,2.54329,0.000865839,0.000865839,0.000865839
8,35.843,1.23131,1.27422,1.59851,0.96317,0.89286,0.92931,0.5019,1.33181,1.29947,2.31164,0.000820525,0.000820525,0.000820525
9,39.0247,1.12805,1.20897,1.5298,0.87899,0.908,0.91687,0.52531,1.36096,1.28131,2.44106,0.000770234,0.000770234,0.000770234
10,42.2773,1.1099,1.097,1.44677,0.89111,0.92857,0.93598,0.57045,1.30552,1.08987,2.28154,0.000715761,0.000715761,0.000715761
11,45.5788,1.08221,1.01732,1.46583,0.82866,0.91071,0.90534,0.61388,1.22792,1.00899,2.12216,0.000657963,0.000657963,0.000657963
12,48.7888,1.09237,0.96531,1.49707,0.90838,0.88535,0.91287,0.6197,1.2656,0.91651,2.1408,0.000597754,0.000597754,0.000597754
13,52.0267,1.01313,0.91819,1.41994,0.87847,0.91071,0.9113,0.57758,1.34589,0.78904,2.22682,0.000536081,0.000536081,0.000536081
14,55.352,0.94102,0.8379,1.36587,0.93689,0.89286,0.91255,0.57392,1.36555,0.86687,2.25715,0.000473919,0.000473919,0.000473919
15,58.5816,0.99198,0.87111,1.34291,0.94301,0.88648,0.92224,0.6218,1.27963,0.85044,2.08469,0.000412246,0.000412246,0.000412246
16,61.9175,0.88186,0.73823,1.30378,0.92341,0.91071,0.92541,0.62909,1.21452,0.8234,2.02747,0.000352037,0.000352037,0.000352037
17,65.2471,0.9467,0.80085,1.34122,0.91105,0.91455,0.92205,0.62895,1.1481,0.82292,2.04941,0.000294239,0.000294239,0.000294239
18,68.525,0.93978,0.79977,1.30348,0.9332,0.91071,0.91216,0.61416,1.1387,0.81626,2.06466,0.000239766,0.000239766,0.000239766
19,71.8037,0.92727,0.80917,1.33365,0.93491,0.91071,0.90631,0.60986,1.14479,0.80302,2.07192,0.000189475,0.000189475,0.000189475
20,75.0559,0.82855,0.6986,1.30519,0.95835,0.91071,0.90278,0.58759,1.16013,0.81334,2.10112,0.000144161,0.000144161,0.000144161
21,82.8781,0.84183,0.80686,1.30398,0.95856,0.91071,0.902,0.57463,1.20437,0.80233,2.08796,0.000104537,0.000104537,0.000104537
22,86.0992,0.77778,0.69249,1.29318,0.96285,0.92567,0.89921,0.58022,1.20424,0.80254,2.07083,7.12282e-05,7.12282e-05,7.12282e-05
23,89.3254,0.74633,0.65245,1.2521,0.95978,0.91071,0.90439,0.58693,1.21665,0.79489,2.10408,4.47606e-05,4.47606e-05,4.47606e-05
24,92.6075,0.74716,0.67452,1.27831,0.96288,0.92633,0.90011,0.59425,1.20023,0.77131,2.07727,2.55513e-05,2.55513e-05,2.55513e-05
25,95.8104,0.72017,0.65518,1.2709,0.96292,0.92753,0.90337,0.59705,1.19541,0.76186,2.07145,1.39032e-05,1.39032e-05,1.39032e-05
1,4.71262,1.11962,0.94341,1.52679,0.82604,0.42857,0.55768,0.32,1.99642,2.71002,3.01888,0.074052,5.2e-05,5.2e-05
2,9.09236,1.08444,1.00034,1.47375,0.76623,0.80357,0.80201,0.47676,1.41201,1.10003,2.32819,0.047106,0.000105954,0.000105954
3,13.4503,1.13434,1.07821,1.47856,0.81289,0.83929,0.86892,0.49129,1.39867,0.99465,2.36101,0.0201597,0.000159722,0.000159722
4,17.8238,1.03577,0.89378,1.37133,0.87992,0.85714,0.90559,0.55288,1.33979,0.89704,2.24486,0.000199219,0.000199219,0.000199219
5,22.1396,1.02055,0.8673,1.42146,0.94586,0.85714,0.91236,0.6052,1.29558,0.84775,2.15873,0.000198614,0.000198614,0.000198614
6,26.551,1.02307,0.86497,1.44854,0.92957,0.91071,0.93791,0.60235,1.27484,0.81129,2.15802,0.000197837,0.000197837,0.000197837
7,30.7996,0.95835,0.80518,1.38017,0.9476,0.875,0.92384,0.60089,1.23843,0.79602,2.12708,0.00019689,0.00019689,0.00019689
8,35.0741,0.98382,0.86736,1.38895,0.97484,0.875,0.92639,0.60251,1.19747,0.72337,2.09064,0.000195775,0.000195775,0.000195775
